가게 이름,1,2,3,4,5,링크
칠돈가 성산점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""주차하기 편해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/600824767?c=15,0,0,0,dh"
제주산방산나들목,"""음식이 맛있어요""","""인테리어가 멋져요""","""재료가 신선해요""","""양이 많아요""","""친절해요""","https://map.naver.com/v5/entry/place/38402606?c=15,0,0,0,dh"
형제도식당,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/37293796?c=15,0,0,0,dh"
가람돌솥밥,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""주차하기 편해요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/16929189?c=15,0,0,0,dh"
중문예지원,"""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""매장이 청결해요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/37417478?c=15,0,0,0,dh"
나운터 횟집 서귀포 본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""특별한 메뉴가 있어요""","""양이 많아요""","https://map.naver.com/v5/entry/place/11860350?c=15,0,0,0,dh"
흑돼지황칠족발,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""가성비가 좋아요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1283193340?c=15,0,0,0,dh"
전망좋은횟집&흑돼지 성산본점,"""음식이 맛있어요""","""뷰가 좋아요""","""재료가 신선해요""","""친절해요""","""주차하기 편해요""","https://map.naver.com/v5/entry/place/13444915?c=15,0,0,0,dh"
성산흑돼지 흑돈쭐,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""매장이 청결해요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1432042622?c=15,0,0,0,dh"
성산 브런치카페 어반정글 부얀트무드,"""인테리어가 멋져요""","""친절해요""","""음식이 맛있어요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1910786191?c=15,0,0,0,dh"
오는정김밥,"""음식이 맛있어요""","""특별한 메뉴가 있어요""","""재료가 신선해요""","""가성비가 좋아요""","""친절해요""","https://map.naver.com/v5/entry/place/1011125170?c=15,0,0,0,dh"
원앤온리,"""뷰가 좋아요""","""사진이 잘 나와요""","""커피가 맛있어요""","""인테리어가 멋져요""","""디저트가 맛있어요""","https://map.naver.com/v5/entry/place/1256246739?c=15,0,0,0,dh"
숙성도 중문점,"""음식이 맛있어요""","""친절해요""","""특별한 메뉴가 있어요""","""재료가 신선해요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/1146342571?c=15,0,0,0,dh"
뱃도새기흑돼지 서귀포올레시장점,"""음식이 맛있어요""","""주차하기 편해요""","""친절해요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/886942075?c=15,0,0,0,dh"
착한갈치,"""음식이 맛있어요""","""가성비가 좋아요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1491225475?c=15,0,0,0,dh"
제주곰집,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""인테리어가 멋져요""","""양이 많아요""","https://map.naver.com/v5/entry/place/35848888?c=15,0,0,0,dh"
옛날옛적 성산본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 넓어요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/11885801?c=15,0,0,0,dh"
부부요리단,"""음식이 맛있어요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","""친절해요""","""인테리어가 멋져요""","https://map.naver.com/v5/entry/place/1041376999?c=15,0,0,0,dh"
화고 신시가지점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1833570050?c=15,0,0,0,dh"
중문회포장센터 새벽야시장,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1437085679?c=15,0,0,0,dh"
고집돌우럭 중문점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/766197218?c=15,0,0,0,dh"
제주옥 중문본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1183252190?c=15,0,0,0,dh"
중문 돌담흑돼지,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/1038108444?c=15,0,0,0,dh"
오돈가,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1243094217?c=15,0,0,0,dh"
까망돼지 중문점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""주차하기 편해요""","""양이 많아요""","https://map.naver.com/v5/entry/place/34818244?c=15,0,0,0,dh"
연돈,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1142108083?c=15,0,0,0,dh"
카페 귤꽃다락,"""사진이 잘 나와요""","""인테리어가 멋져요""","""뷰가 좋아요""","""음료가 맛있어요""","""디저트가 맛있어요""","https://map.naver.com/v5/entry/place/1939769414?c=15,0,0,0,dh"
미영이네식당,"""음식이 맛있어요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""친절해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/13434137?c=15,0,0,0,dh"
자리돔횟집,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""특별한 메뉴가 있어요""","""양이 많아요""","https://map.naver.com/v5/entry/place/16912908?c=15,0,0,0,dh"
모구리식당,"""음식이 맛있어요""","""친절해요""","""주차하기 편해요""","""재료가 신선해요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/37026212?c=15,0,0,0,dh"
금돗 성산흑돼지,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1977280750?c=15,0,0,0,dh"
성산 고등어쌈밥 김치찜,"""음식이 맛있어요""","""주차하기 편해요""","""재료가 신선해요""","""양이 많아요""","""친절해요""","https://map.naver.com/v5/entry/place/16952594?c=15,0,0,0,dh"
중문색달통갈치 본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","""양이 많아요""","https://map.naver.com/v5/entry/place/1417642003?c=15,0,0,0,dh"
가든이다 서귀포중문본점,"""음식이 맛있어요""","""인테리어가 멋져요""","""친절해요""","""매장이 청결해요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/1689673522?c=15,0,0,0,dh"
트라몬토 제주모슬포본점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""인테리어가 멋져요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/1256156460?c=15,0,0,0,dh"
삼미흑돼지 중문점,"""음식이 맛있어요""","""친절해요""","""고기 질이 좋아요""","""매장이 넓어요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/38403709?c=15,0,0,0,dh"
고씨네천지국수,"""음식이 맛있어요""","""친절해요""","""양이 많아요""","""가성비가 좋아요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/1794435212?c=15,0,0,0,dh"
성산일출봉 어멍횟집,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""매장이 넓어요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/37061112?c=15,0,0,0,dh"
색달식당 중문갈치조림구이 본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/21697562?c=15,0,0,0,dh"
돈이랑 본점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""양이 많아요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/36503433?c=15,0,0,0,dh"
어멍뚝배기,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1316503131?c=15,0,0,0,dh"
제주오성 갈치조림 제주도 중문 본점,"""음식이 맛있어요""","""매장이 넓어요""","""친절해요""","""재료가 신선해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/37797002?c=15,0,0,0,dh"
제주순메밀막국수,"""음식이 맛있어요""","""매장이 넓어요""","""주차하기 편해요""","""재료가 신선해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1927504039?c=15,0,0,0,dh"
바다어멍,"""음식이 맛있어요""","""친절해요""","""매장이 청결해요""","""매장이 넓어요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/1187476313?c=15,0,0,0,dh"
모루쿠다 서귀포올레시장점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""인테리어가 멋져요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/1660357714?c=15,0,0,0,dh"
아줄레주,"""디저트가 맛있어요""","""인테리어가 멋져요""","""뷰가 좋아요""","""사진이 잘 나와요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/1051148650?c=15,0,0,0,dh"
복자씨연탄구이,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""뷰가 좋아요""","""양이 많아요""","https://map.naver.com/v5/entry/place/35769744?c=15,0,0,0,dh"
중문수두리보말칼국수,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""양이 많아요""","https://map.naver.com/v5/entry/place/1296235294?c=15,0,0,0,dh"
장군오리,"""음식이 맛있어요""","""재료가 신선해요""","""가성비가 좋아요""","""친절해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/13476066?c=15,0,0,0,dh"
색달바당,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""매장이 청결해요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1089452165?c=15,0,0,0,dh"
팔도식당갈치조림 섭지코지점,"""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""재료가 신선해요""","""양이 많아요""","https://map.naver.com/v5/entry/place/1950026137?c=15,0,0,0,dh"
아솥,"""음식이 맛있어요""","""친절해요""","""뷰가 좋아요""","""인테리어가 멋져요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/1071196217?c=15,0,0,0,dh"
더클리프,"""뷰가 좋아요""","""사진이 잘 나와요""","""인테리어가 멋져요""","""주차하기 편해요""","""음료가 맛있어요""","https://map.naver.com/v5/entry/place/1667822207?c=15,0,0,0,dh"
제주로운청해원 성산일출봉점,"""음식이 맛있어요""","""가성비가 좋아요""","""재료가 신선해요""","""매장이 청결해요""","""양이 많아요""","https://map.naver.com/v5/entry/place/1515613605?c=15,0,0,0,dh"
돈이랑 성산점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""매장이 넓어요""","""양이 많아요""","https://map.naver.com/v5/entry/place/37157723?c=15,0,0,0,dh"
커큐민흑돼지,"""음식이 맛있어요""","""친절해요""","""매장이 넓어요""","""주차하기 편해요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/35221577?c=15,0,0,0,dh"
등경돌식당 제주성산일출봉점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/17076083?c=15,0,0,0,dh"
바다를본돼지 제주서귀포점,"""음식이 맛있어요""","""뷰가 좋아요""","""친절해요""","""매장이 넓어요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1258606233?c=15,0,0,0,dh"
성산을본갈치조림구이 제주성산일출봉점,"""음식이 맛있어요""","""재료가 신선해요""","""뷰가 좋아요""","""친절해요""","""양이 많아요""","https://map.naver.com/v5/entry/place/1979855006?c=15,0,0,0,dh"
바다바라 카페&베이커리,"""뷰가 좋아요""","""커피가 맛있어요""","""사진이 잘 나와요""","""야외 공간이 멋져요""","""디저트가 맛있어요""","https://map.naver.com/v5/entry/place/1892828298?c=15,0,0,0,dh"
가시아방국수,"""음식이 맛있어요""","""양이 많아요""","""주차하기 편해요""","""가성비가 좋아요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/16950110?c=15,0,0,0,dh"
솔동산고기국수,"""음식이 맛있어요""","""친절해요""","""양이 많아요""","""재료가 신선해요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/34714074?c=15,0,0,0,dh"
부두식당,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/13105260?c=15,0,0,0,dh"
광어다,"""음식이 맛있어요""","""재료가 신선해요""","""가성비가 좋아요""","""뷰가 좋아요""","""친절해요""","https://map.naver.com/v5/entry/place/1553101154?c=15,0,0,0,dh"
꺼멍목장,"""음식이 맛있어요""","""뷰가 좋아요""","""매장이 넓어요""","""친절해요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/466851716?c=15,0,0,0,dh"
제주 양반갈비,"""음식이 맛있어요""","""주차하기 편해요""","""재료가 신선해요""","""양이 많아요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/1592243122?c=15,0,0,0,dh"
국수바다 본점,"""음식이 맛있어요""","""양이 많아요""","""주차하기 편해요""","""매장이 넓어요""","""친절해요""","https://map.naver.com/v5/entry/place/35372610?c=15,0,0,0,dh"
신옛촌 산방산점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""가성비가 좋아요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/16958610?c=15,0,0,0,dh"
산포식당 성산점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/12997438?c=15,0,0,0,dh"
산방산 흑돼지,"""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""재료가 신선해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1947243196?c=15,0,0,0,dh"
흑돼지삼형제,"""음식이 맛있어요""","""매장이 넓어요""","""친절해요""","""재료가 신선해요""","""주차하기 편해요""","https://map.naver.com/v5/entry/place/37668793?c=15,0,0,0,dh"
번네식당,"""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""재료가 신선해요""","""양이 많아요""","https://map.naver.com/v5/entry/place/21604850?c=15,0,0,0,dh"
맛나식당,"""음식이 맛있어요""","""가성비가 좋아요""","""양이 많아요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/19873447?c=15,0,0,0,dh"
테라로사 서귀포점,"""커피가 맛있어요""","""인테리어가 멋져요""","""뷰가 좋아요""","""디저트가 맛있어요""","""사진이 잘 나와요""","https://map.naver.com/v5/entry/place/37921491?c=15,0,0,0,dh"
이어돈 성산 그 두번째이야기,"""음식이 맛있어요""","""친절해요""","""매장이 청결해요""","""재료가 신선해요""","""인테리어가 멋져요""","https://map.naver.com/v5/entry/place/1049921095?c=15,0,0,0,dh"
